Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-01-30 00:00:00-05:00,19.462005267939507,19.510854937183403,19.354533759408422,19.422924041748047,154300,0.0,0.0,0.0
2018-01-31 00:00:00-05:00,19.6378674092433,19.657408022687726,19.3643044115077,19.462005615234375,654500,0.0,0.0,0.0
2018-02-01 00:00:00-05:00,19.608556489076655,19.608556489076655,19.354534104785486,19.462005615234375,1085800,0.0,0.0,0.0
2018-02-02 00:00:00-05:00,19.540162334390967,19.540162334390967,19.002808615593253,19.012577056884766,745100,0.0,0.0,0.0
2018-02-05 00:00:00-05:00,19.04189076555699,19.105396824241616,18.289593958047917,18.318904876708984,605700,0.0,0.0,0.0
2018-02-06 00:00:00-05:00,18.221202001072047,18.699935780838565,17.928100295417508,18.680397033691406,677800,0.0,0.0,0.0
2018-02-07 00:00:00-05:00,18.71947799146754,18.875799162977028,18.533845901489258,18.533845901489258,567300,0.0,0.0,0.0
2018-02-08 00:00:00-05:00,18.739019937767914,18.83672114279031,17.77178192138672,17.77178192138672,422500,0.0,0.0,0.0
2018-02-09 00:00:00-05:00,18.01603004558795,18.152810584482825,17.390743588864765,17.986719131469727,485900,0.0,0.0,0.0
2018-02-12 00:00:00-05:00,18.367753358447,18.436145497573925,18.099076476967465,18.325742721557617,269900,0.0,0.0,0.0
2018-02-13 00:00:00-05:00,18.318902766323674,18.436144563966014,18.221201578870918,18.40683364868164,191600,0.0,0.0,0.0
2018-02-14 00:00:00-05:00,18.367751110330694,18.729244918918482,18.318901451857084,18.699934005737305,126600,0.0,0.0,0.0
2018-02-15 00:00:00-05:00,18.94418993836997,19.041891138994213,18.66378978467775,18.934419631958008,227600,0.0,0.0,0.0
2018-02-16 00:00:00-05:00,19.012578480967846,19.120049978175274,18.887523042720584,18.95395851135254,160900,0.0,0.0,0.0
2018-02-20 00:00:00-05:00,18.953957336154904,19.08096943652408,18.85625615052364,18.92464828491211,182900,0.0,0.0,0.0
2018-02-21 00:00:00-05:00,18.98327037604496,19.13959154515688,18.80740859492022,18.836719512939453,138700,0.0,0.0,0.0
2018-02-22 00:00:00-05:00,18.924648620586918,19.19820970901258,18.817177128136752,18.85625648498535,95700,0.0,0.0,0.0
2018-02-23 00:00:00-05:00,18.993039671711717,19.168901443481445,18.905108785826855,19.168901443481445,90200,0.0,0.0,0.0
2018-02-26 00:00:00-05:00,19.344760965591682,19.452232460304533,19.247061639665667,19.41706085205078,144300,0.0,0.0,0.0
2018-02-27 00:00:00-05:00,19.442463209045933,19.491314738152518,19.24706268310547,19.24706268310547,103600,0.0,0.0,0.0
2018-02-28 00:00:00-05:00,19.33499417385611,19.510854093628055,19.06240766439366,19.090742111206055,98500,0.0,0.0,0.0
2018-03-01 00:00:00-05:00,19.14936220022709,19.1591325064116,18.63252362499014,18.768327713012695,106500,0.0,0.0,0.0
2018-03-02 00:00:00-05:00,18.621776809283716,18.89533979140634,18.502582055668213,18.87579917907715,119100,0.0,0.0,0.0
2018-03-05 00:00:00-05:00,18.80740677100932,19.080969722173162,18.71068205537278,19.071199417114258,107400,0.0,0.0,0.0
2018-03-06 00:00:00-05:00,19.149359125627058,19.19820878521099,19.00280828338019,19.080968856811523,55000,0.0,0.0,0.0
2018-03-07 00:00:00-05:00,18.80740876239594,19.178671076468923,18.80740876239594,19.14447593688965,64600,0.0,0.0,0.0
2018-03-08 00:00:00-05:00,19.237294412778787,19.286144083558856,19.159133821433386,19.266603469848633,67300,0.0,0.0,0.0
2018-03-09 00:00:00-05:00,19.481543904612284,19.63786506652832,19.334993048252905,19.63786506652832,65000,0.0,0.0,0.0
2018-03-12 00:00:00-04:00,19.68671226501465,19.725793482346276,19.616367191914726,19.68671226501465,128700,0.0,0.0,0.0
2018-03-13 00:00:00-04:00,19.716025368463434,19.766829838541916,19.4033830490559,19.491313934326172,90100,0.0,0.0,0.0
2018-03-14 00:00:00-04:00,19.637864433441433,19.637864433441433,19.374071782401572,19.452232360839844,54400,0.0,0.0,0.0
2018-03-15 00:00:00-04:00,19.491313758243255,19.56947433738904,19.39361256843722,19.471773147583008,41000,0.0,0.0,0.0
2018-03-16 00:00:00-04:00,19.491312904364165,19.539186093937893,19.417060077904267,19.427806854248047,41200,0.0,0.0,0.0
2018-03-19 00:00:00-04:00,19.37407088000884,19.37407088000884,18.936371288442366,19.012577056884766,81900,0.0,0.0,0.0
2018-03-20 00:00:00-04:00,19.090743107763306,19.110281857538787,19.008672904724488,19.10051155090332,47700,0.0,0.0,0.0
