Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.05820876359939575,0.0601622549452753,0.05820876359939575,0.05820876359939575,841958,0.0,0.0
1962-01-03 00:00:00-05:00,0.058208762854028165,0.05918550618049011,0.058208762854028165,0.058990031480789185,801865,0.0,0.0
1962-01-04 00:00:00-05:00,0.05899003148078918,0.05918550618049011,0.05859971225343002,0.058990031480789185,962238,0.0,0.0
1962-01-05 00:00:00-05:00,0.05898999308794816,0.059380942232906034,0.058795144019163754,0.059185467660427094,962238,0.0,0.0
1962-01-08 00:00:00-05:00,0.05918550618049011,0.05996677947519218,0.057818438958727944,0.058990031480789185,1282984,0.0,0.0
1962-01-09 00:00:00-05:00,0.05898999446637153,0.060162216424942024,0.05859967548392559,0.06016221642494202,641492,0.0,0.0
1962-01-10 00:00:00-05:00,0.06016220992699131,0.06113895253508186,0.06016220992699131,0.06074800342321396,681585,0.0,0.0
1962-01-11 00:00:00-05:00,0.06074801918593391,0.06289698418359378,0.06055317008308266,0.06250603497028351,2004663,0.0,0.0
1962-01-12 00:00:00-05:00,0.06250604718530796,0.06270152183016305,0.059771913508920846,0.060553181916475296,2004663,0.0,0.0
1962-01-15 00:00:00-05:00,0.06055318191647529,0.06094350570225932,0.06016223729470488,0.060553181916475296,641492,0.0,0.0
1962-01-16 00:00:00-05:00,0.060162254174893105,0.060162254174893105,0.05859971225343002,0.058990031480789185,360839,0.0,0.0
1962-01-17 00:00:00-05:00,0.05899000903025745,0.05899000903025745,0.057037148624658585,0.057037148624658585,400933,0.0,0.0
1962-01-18 00:00:00-05:00,0.057427490294689416,0.05859971300380375,0.057427490294689416,0.05820876359939575,320746,0.0,0.0
1962-01-19 00:00:00-05:00,0.05859970607617662,0.05938097462058068,0.05859970607617662,0.05938097462058067,441026,0.0,0.0
1962-01-22 00:00:00-05:00,0.05977189626379415,0.06035768985748291,0.05977189626379415,0.06035768985748291,360839,0.0,0.0
